name,addr,size,mode,type
DHM_peekFrontTxLmp,98962,46,THUMB_32,FUNC
_lrm_isWholeHolePresent,225796,40,THUMB_32,FUNC
DHM_isTxLmpListEmpty,99022,32,THUMB_32,FUNC
_lrm_needRearrangeCAT0Link,226634,32,THUMB_32,FUNC
handlePacketBoundary_FlushTimeout_Logic,99166,132,THUMB_32,FUNC
_lrm_isPartialHolePresent,226666,38,THUMB_32,FUNC
_dhm_okToSendLZP,100018,96,THUMB_32,FUNC
bcs_ecsiTaskInit,228016,66,THUMB_32,FUNC
DHM_SetHostPktTypeFlags,101264,82,THUMB_32,FUNC
bcs_ecsiDisable,228084,44,THUMB_32,FUNC
DHM_HandleRxPktL2CAPFlowBit,103204,40,THUMB_32,FUNC
calcA2DPBufferECSITimer,228380,92,THUMB_32,FUNC
bthci_event_SendCommandCompleteEventWithStatus,109014,40,THUMB_32,FUNC
_tx_semaphore_info_get,228732,72,THUMB_32,FUNC
bthci_event_SendCommandStatusEventWithStatus,109190,40,THUMB_32,FUNC
_tx_block_pool_create,228928,156,THUMB_32,FUNC
bthci_event_SendInquiryRespNotif,109858,42,THUMB_32,FUNC
_afhcc_genReportMap,231326,120,THUMB_32,FUNC
bthci_event_SendEncryptionChangeCompleteEvent,110886,74,THUMB_32,FUNC
afhccQualifingAclConn,231560,42,THUMB_32,FUNC
bthci_event_SendLinkKeyRequestEvent,111438,38,THUMB_32,FUNC
afhcc_bleRxPkt,235438,76,THUMB_32,FUNC
bthci_event_InstallHCIEventFilter,112976,34,THUMB_32,FUNC
_afhcc_updatePer,235692,48,THUMB_32,FUNC
bcs_syncTaskPiconetsAligned,115102,66,THUMB_32,FUNC
afhcc_nextScanCh,236188,40,THUMB_32,FUNC
mlse_getIntValue,119308,32,THUMB_32,FUNC
apepApu_init,237704,38,THUMB_32,FUNC
mlse_initMlseInfo,119340,154,THUMB_32,FUNC
intctl_enable,239280,42,THUMB_32,FUNC
mlse_reset_le,119494,134,THUMB_32,FUNC
intctl_disable,239322,38,THUMB_32,FUNC
mlse_covCalcs,120890,340,THUMB_32,FUNC
intctl_ClrPendingInt,239388,48,THUMB_32,FUNC
DetInvCalc,121230,54,THUMB_32,FUNC
pcm_scoLinkUp,240638,344,THUMB_32,FUNC
LinkQual_GlobalInit,124268,40,THUMB_32,FUNC
pcm_scoLinkDown,240982,38,THUMB_32,FUNC
LinkQual_ResetAclConn,124308,66,THUMB_32,FUNC
pcm_loopback,241020,38,THUMB_32,FUNC
LinkQual_ResetScoConn,124374,46,THUMB_32,FUNC
slimboot_rfm_R_RC_cal_data_store_to_aon,241624,40,THUMB_32,FUNC
LinkQual_1_SecUpdate,124420,76,THUMB_32,FUNC
slimboot_rfm_R_RC_calInit,241664,38,THUMB_32,FUNC
LinkQual_SetTestModeCnts,124526,46,THUMB_32,FUNC
slimboot_rfm_txpower_init,241702,102,THUMB_32,FUNC
LinkQual_GetPktInfo,124572,46,THUMB_32,FUNC
slimboot_rfm_agc_wrssi_init,241810,76,THUMB_32,FUNC
LinkQual_GetBERLQ,125612,64,THUMB_32,FUNC
slimboot_rfm_iq_lo_data_store_to_aon,241916,128,THUMB_32,FUNC
bcs_scanTaskFsmSetup,128280,56,THUMB_32,FUNC
slimboot_rfm_iq_lo_calInit,242044,114,THUMB_32,FUNC
bcs_scanTaskGetInfoPtr,128336,46,THUMB_32,FUNC
spiffy_slaveRxData,242938,38,THUMB_32,FUNC
bcs_scanTaskResample,129550,88,THUMB_32,FUNC
fmsr_hclk_enable,243500,32,THUMB_32,FUNC
_sco_sendScoConnChangedEvent,314562,46,THUMB_32,FUNC
lm_SendLmpIOCapReq,436610,128,THUMB_32,FUNC
btm_ble_resume_bg_conn,909932,48,THUMB_32,FUNC
update_wlan_multi_channels,167378,112,THUMB_32,FUNC
_sco_startTxn,315250,64,THUMB_32,FUNC
_sp_start,437064,62,THUMB_32,FUNC
__rt_memcpy_w,911096,72,THUMB_32,FUNC
gci_getWlanImplicitBTCMode,169386,36,THUMB_32,FUNC
_sco_procHostAddFinal,315314,54,THUMB_32,FUNC
_sp_handlePeerReq,437126,72,THUMB_32,FUNC
hw_pka_pt_IsAffine,912940,38,THUMB_32,FUNC
get_FabID_gci,169448,40,THUMB_32,FUNC
