name addr size mode type
lte_coex_update_high_priority_esco_frame 0x39008 58 THUMB_32 FUNC
_scanTaskLcuSoftReset 0x753fe 64 THUMB_32 FUNC
bcs_pmuSleepEnable 0x959a0 304 THUMB_32 FUNC
avdt_msg_bld_discover_rsp 0x1278c 82 THUMB_32 FUNC
bthci_cmd_ble_addDev2ResolveList_callback 0xb58ec 46 THUMB_32 FUNC
bcsulp_coexGetConnTotalBzl 0x261d0 72 THUMB_32 FUNC
avdt_msg_bld_delay_rpt 0x12766 38 THUMB_32 FUNC
lmulp_autoConnUpdate 0x56abc 78 THUMB_32 FUNC
msgqueue_PrivateGet 0x260ac 132 THUMB_32 FUNC
_scanTaskReadjustScanWindow 0x75380 126 THUMB_32 FUNC
bcs_pmuSleepAllowedCallback 0x95950 74 THUMB_32 FUNC
hw_pka_is_prime 0x7c86 164 THUMB_32 FUNC
bthci_cmd_ble_HandleConnParamReqReply 0xb57a2 130 THUMB_32 FUNC
bcs_aclTask_lmctx_SamTaskReEnable 0x38f8a 120 THUMB_32 FUNC
bthci_cmd_ble_HandleTransmitter_Test 0xb56e4 116 THUMB_32 FUNC
lrm_AutoUnSniffSlaves 0x56a6c 80 THUMB_32 FUNC
msgqueue_PutInFront 0x26048 80 THUMB_32 FUNC
_scanTaskLcuCmd 0x752de 162 THUMB_32 FUNC
bcs_pmuShortSleepWake 0x958b0 160 THUMB_32 FUNC
bcs_aclTask_lmctx_SamTaskDisable 0x38ee0 170 THUMB_32 FUNC
bcs_pmuInterruptWake 0x955ea 320 THUMB_32 FUNC
bcs_aclTaskPiconetsActive 0x38e40 42 THUMB_32 FUNC
bcs_pmuGetSlotsForShortSleep 0x95418 466 THUMB_32 FUNC
msgqueue_Put 0x25fe2 102 THUMB_32 FUNC
_lrm_findHoleSize 0x569e6 134 THUMB_32 FUNC
wiced_bt_mesh_config_node_identity_set 0x100df4 54 THUMB_32 FUNC
hidd_connecting_proc_evt 0x10292a 94 THUMB_32 FUNC
friend_crt_subs_list_confirm 0xe8a2e 50 THUMB_32 FUNC
hidd_mgmt_conn_closed 0x102988 26 THUMB_32 FUNC
attp_build_handle_cmd 0xaed16 46 THUMB_32 FUNC
hci_SetAdvtDataMulti 0xb17a4 88 THUMB_32 FUNC
celt_plc_RandPitch 0x11fe8a 30 THUMB_32 FUNC
hidd_connected_proc_evt 0x1029a2 76 THUMB_32 FUNC
wiced_bt_mesh_config_gatt_proxy_get 0x100e2a 36 THUMB_32 FUNC
celt_alloc_trim_analysis 0x12971a 1170 THUMB_32 FUNC
celt_plc_ClassifySpeech 0x11fea8 114 THUMB_32 FUNC
lm_HandleLinkKeyReqNegativeReply 0x73052 146 THUMB_32 FUNC
wiced_bt_mesh_config_gatt_proxy_set 0x100e4e 44 THUMB_32 FUNC
celt_stereo_analysis 0x129bac 190 THUMB_32 FUNC
celt_plc_LC_PLC 0x120b4e 1318 THUMB_32 FUNC
_ape_sendLmpInRand 0x730e4 100 THUMB_32 FUNC
bcs_dmaReset 0x701ce 122 THUMB_32 FUNC
hci_SetAdvtDataMulti 0xb17fc 88 THUMB_32 FUNC
attp_build_value_cmd 0xaed5e 214 THUMB_32 FUNC
location_client_send_complete_callback 0xec72c 48 THUMB_32 FUNC
friend_send_subs_conf_ 0xe8a60 172 THUMB_32 FUNC
hidd_disc_ing_proc_evt 0x1029ee 28 THUMB_32 FUNC
wiced_bt_mesh_config_model_publication_get 0x100e7a 86 THUMB_32 FUNC
wiced_bt_mesh_model_location_client_send_global_get 0xec75c 30 THUMB_32 FUNC
friend_cache_del_old_msg_ 0xe8b0c 204 THUMB_32 FUNC
lm_HandleHciPinCodeReqReply 0x73148 196 THUMB_32 FUNC
celt_decoder_get_size 0x121078 46 THUMB_32 FUNC
celt_dynalloc_analysis 0x129c6a 1392 THUMB_32 FUNC
attp_build_sr_msg 0xaee34 88 THUMB_32 FUNC
l2c_fcr_updcrc 0x102a14 36 THUMB_32 FUNC
